title	publish_year	description
高效程序员的45个习惯	2010	"“书中‘切身感受’的内容非常有价值——通过它我们可以做到学有所思，思有所悟，悟有所行。”
——Nathaniel T. Schutta，《Ajax基础教程》作者
“此书通过常理和经验..."
管理3.0	2012	《管理3.0：培养和提升敏捷领导力》以科学为基础，结合复杂性系统理论，通过轻松诙谐的写作风格和诸多解释与隐喻，将敏捷管理的要义娓娓道来。针对管理3.0的六个视角，...
Crystal Clear	2006	"★本书系第15届Jolt大奖入围作品！
★敏捷运动领军人物、两次JOLT生产力奖得主Alistair Cockburn向你推荐成功项目的7大体系特征！
★敏捷团队通过将近10年的潜心研究及..."
Scrum精髓	2014	短短几年时间，Scrum跃升为敏捷首选方法，在全球各地得以普遍应用。针对如何用好、用巧这个看似简单的框架，本书以通俗易懂的语言、条理清晰的脉络阐述和提炼出Scrum的...
高效程序员的45个习惯（修订版）	2014	本书总结并生动地阐述了成为高效的开发人员所需具备的45 个习惯、思想观念和方法，涵盖了软件开发进程、编程和调试工作、开发者态度、项目和团队管理以及持续学习等几方...
30天软件开发	2014	"本书讲解了Scrum 敏捷软件开发方法，让你在30 天内开发出全新的软件。读完本书，你会发现用敏捷开发方法能够让软件开发事半功倍，节省人力物力，大大提高工作效率。
本..."
个体与交互	2012	对敏捷软件开发的关注重点，通常都集中在“机制”方面，即过程和工具。“敏捷宣言”认为，个体与交互的价值要高于过程和工具，但这一点很容易被遗忘。在敏捷开发中，如...
Scrum捷径	2014	Scrum作为主流的敏捷方法，因其简单易行而在软件行业迅速普及。但要想取得成效，一些重要的节点不可或缺。作者从多年的实践中，总结和梳理出30个捷径，充分说明如何才能...
笑谈软件工程	2013	《笑谈软件工程:烽烟中的敏捷》凝聚作者从事软件开发十多年来的思考与实践，从8个方面说明了如何从传统的瀑布开发过渡到敏捷开发。作者以诙谐幽默的文笔，于谈笑间揭示...
软件开发之韵	2010	《软件开发之韵:和谐敏捷、珠联璧合的开发》是一本关于推荐、推广、推崇敏捷开发的软件方法学教材，这种方法同时尊重人员与实践的软件开发的双重韵律。全书包括两部分，...
爵士乐过程	2012	《爵士乐过程:协作、创新、敏捷》主要分析了一个成功的软件开发团队应如何平衡约束机制和员工自主权之间的关系。作者通过介绍爵士乐的演奏过程，论证了这种爵士乐演奏过...
企业软件交付	2013	本书是软件交付领域的旗舰作品和权威著作，Amazon五星畅销书，是IBM杰出工程师、资深软件交付专家数十年一线工作经验的结晶，IBMRational首席软件经济学家WalkerRoyce作...
Scrum实战	2013	《Serum实战一敏捷软件项目管理与开发》为软件项目团队提供了如何成功实施敏捷软件框架Serum的实用指南。本书叙事清晰准确，是第一本由实践者编写的针对现实状况的实用...
SaaS软件工程	2016	
高级软件开发过程	2005	"本书探讨了Rational统一过程、敏捷过程与微软过程三种目前软件界最具影响力的软件开发过程各自的优势与不足，帮助软件开发企业从中进行选择。
    本书首先分析了瀑布模..."
梦之队的梦魇	2016	"敏捷开发是针对传统的瀑布开发模式的弊端而产生的一种新的开发模式，目标是提高开发效率和响应能力。本书就将为你全面呈现一场关于敏捷开发的探索历程。
全书分两个部分..."
有效的项目管理	2015	本书自出版以来畅销至今，不仅全球300多所院系使用本书，更有众多培训、咨询机构及项目经理将本书视为实用宝典。本书由既具有精深理论造诣，又具有丰富实践经验的项目管...
笑談軟體工程	2012	"導入Scrum，讓你的軟體開發人生從黑白變彩色！
●最務實的敏捷方法。從需求分析、程式開發、軟體架構、UI設計、軟體測試、持續整合 ─ 軟體工程的全新思維
●最幽默、簡..."
無瑕的程式碼	2013	本書的原文書名為《Clean Code: A Handbook of Agile Software Craftsmanship》，根據作者的說法，《無瑕的程式碼》為Jolt得獎著作《敏捷軟體開發：原則、樣式及實務》...
系统分析与设计	2015	
服务虚拟化	2015	
物流管理	2007	物流管理：精益与敏捷的方法（英文原版），ISBN：9787801696229，作者：（英）苏格兰学历管理委员会
系统分析与设计（原书第6版）	2017	
恐龙生存故事	2016	敏捷龙，三叠纪欧洲大陆上的灵活杀手，它们是凶猛的猎人，可以杀死比它们小的猎物，也可以组成群体杀死更大型的猎物，但它们真的可以横行于辽阔的大陆吗？敏捷龙的几次...
执行SOA	2009	《执行SOA:SOA实践指南》细致全面地描述了SOA，从架构视图直到实际的实现，展示了如何克服成功实施SOA的关键障碍，并确定了针对所有方面的最佳实践。《执行SOA:SOA实践...
