259	敏捷建模在煤矿安全监管系统中的应用研究	侯俣	辽宁工程技术大学	2009-06-30	硕士	0	71
260	基于敏捷方法对手机软件开发的需求管理的改进与实践	艾虹	北京邮电大学	2011-06-17	硕士	1	209
261	A公司研发团队敏捷开发模式的转型以及效果评价	于超	山东大学	2015-11-30	硕士	0	63
262	制造系统敏捷性仿真建模软件开发	鲍婷洁	机床与液压	2011-12-15	期刊	3	59
263	基于敏捷开发的X测试模型的研究与改进	戴莉萍	计算机工程与设计	2007-09-23	期刊	9	179
264	基于敏捷方法的卫星导航地面站数据库系统设计与实现	王勇	国防科学技术大学	2008-11-01	硕士	0	120
265	基于AUP的自定义通讯协议监控软件的实现	刘威	中国科学院研究生院（空间科学与应用研究中心）	2010-05-10	硕士	1	43
266	超图平台软件创新:超图精益敏捷研发管理体系简介	王少华	地球信息科学学报	2016-08-15	期刊		20
267	结合CMMI的Scrum敏捷软件开发研究	张思凯	电子技术与软件工程	2015-04-30 16:42	期刊		36
268	基于敏捷开发方法的医疗应用软件技术策略	陈婷	通讯世界	2015-08-25	期刊		4
269	对于敏捷软件开发重要元素的思考	朱建刚	计算机光盘软件与应用	2013-04-01	期刊	0	27
270	敏捷管理在软件开发中的应用	杨智勇	科技资讯	2013-04-13	期刊	0	35
271	敏捷型软件开发方法与极限编程	韩毅	科技信息	2009-05-15	期刊	2	244
